"Record ID","Company name","Employee Head Count","Number of Employees","Industry","Company Domain Name","Website URL","LinkedIn Company Page","Linkedin handle"
"221855407846","Monpac Global","","","","","","",""
"220637488865","DoubleSquare Networks Inc.","","","","","","",""
"220637488864","International Precision","","4.0","","","","",""
"220635513577","UPSI Inc.","","","","","","",""
"220635513575","Musahamat Farms Inc.","","","","","","",""
"220633692887","Jadphil Inc.","","","","","","",""
"220568212214","Six In One Corporation","","","","","","",""
"220559125225","Presidential Communication office","","","","","","",""
"32744844115","HTLand, Inc.","","","","htland.com.ph","htland.com.ph","",""
"29964835741","Q-R Building Solutions","","","","quadrbs.com","quadrbs.com","",""
"21369713262","TeleSynergy","100 - 499","400.0","","","","",""
"21369690752","Iloilo Mission Hospital","500 - 999","800.0","","","https://www.facebook.com/iloilomissionhospital/photos/a.508831739468953/1651272821891500/","",""
"21369664113","Budgeting Supermarket Inc.","","200.0","","","https://www.facebook.com/budgetkingsupermarket/","",""
"152599879409","CERES SUMMIT CORPORATION","","300.0","","ceresummit.com","ceresummit.com","https://www.linkedin.com/in/ceres-summit-corporation-948633361/?originalSubdomain=ph",""
"123720371927","Diamond WaterEdge Resort","","0.0","","diamondwateredgeresortboracay.com","https://www.diamondwateredgeresortboracay.com","",""
"123978188520","Bans Resort","","","","bansbeachresort.com","bansbeachresort.com","",""
"123720371926","Boracay Holiday Resort","","0.0","","boracayholidayresort.com","boracayholidayresort.com","",""
"123743073984","Akelco","","","","akelco.com.ph","akelco.com.ph","",""
"123679753977","Microtel Inn & Suites  by Wyndham Boracay","","0.0","","microtel-boracay.com","https://microtel-boracay.com","https://www.linkedin.com/company/microtelbywyndham",""
"123746667196","Tirta Spa Boracay Island","","","","tirtaspa.com","https://tirtaspa.com","",""
"123731175118","Baracay Haven Suites","","","","boracayhaven-suites.com","https://boracayhaven-suites.com","https://ph.linkedin.com/in/boracay-haven-resort-79b870bb",""
"100263898813","Raffles Fairmont Makati Careers","100 - 499","226.0","","","","","https://www.linkedin.com/company/raffles-fairmont-makati-careers"
"100263898814","LET X Integrated Resort","1000 - 5000","139.0","","letwestside.com","letwestside.com","","https://www.linkedin.com/company/letxintegratedresort"
"96601395899","JLL","100 - 499","101.0","","jll.com.ph","jll.com.ph","https://linkedin.com/company/jll","https://www.linkedin.com/company/jcl-international/"
"31173073057","Denso Ten Solutions Philippines Corporation","","550.0","","","","http://www.linkedin.com/company/dtspc",""
"31193079040","Bureau of Jail Management and Penology","","1100.0","","bjmp.gov.ph","http://www.bjmp.gov.ph","http://www.linkedin.com/company/bureau-of-jail-management-and-penology",""
"31193078969","Senate of the Philippines","100 - 499","190.0","","senate.gov.ph","http://www.senate.gov.ph","",""
"31168433674","Soliman Security Services Inc.","100 - 499","250.0","","solimansecurity.com","http://www.solimansecurity.com","http://www.linkedin.com/company/soliman-security-services-inc-",""
"31101842589","Communix","500 - 999","250.0","","communixinc.com","communixinc.com","https://www.linkedin.com/company/communix-inc-cxi",""
"31014014233","Makati Gospel Church","1 - 49","","","mgc.org.ph","mgc.org.ph","",""
"30229260426","toyotabicutan.com.ph","500 - 999","","","toyotabicutan.com.ph","toyotabicutan.com.ph","",""
"29966220134","aquaboracay.com.ph","1000 - 5000","","","aquaboracay.com.ph","aquaboracay.com.ph","",""
"28788517729","pcup.gov.ph","100 - 499","0.0","","pcup.gov.ph","pcup.gov.ph","",""
"28694907654","","50 - 99","","","hannibal.com.ph","hannibal.com.ph","",""
"26549843487","purplebugmail.net","50 - 99","","","purplebugmail.net","purplebugmail.net","",""
"25618904095","bountyagro.com.ph","1 - 49","10.0","","bountyagro.com.ph","bountyagro.com.ph","",""
"25611280923","smwatsons.com","1000 - 5000","","","smwatsons.com","smwatsons.com","",""
"25619060405","The SM Store","100 - 499","0.0","","thesmstore.com","thesmstore.com","",""
"25606579581","mundipharma.com.ph","1000 - 5000","","","mundipharma.com.ph","mundipharma.com.ph","",""
"23825753905","pal.com.ph","","","","pal.com.ph","pal.com.ph","",""
"23774238740","mphhi.com.ph","","0.0","","mphhi.com.ph","mphhi.com.ph","",""
"23755952922","F.R.P. Philippines Corporation","100 - 499","","","frpphils.com.ph","frpphils.com.ph","",""
"22563487092","Klad Sanitation Services","1 - 49","10.0","","kladsanitation.com.ph","kladsanitation.com.ph","https://www.linkedin.com/company/klad-sanitation-services",""
"22352950291","SolarTech Steel Fabrication Services,","1 - 49","4.0","","solartechgroup.net","solartechgroup.net","",""
"22344853769","Lead Career Mover","","","","lcm.ph","lcm.ph","",""
"22116442167","Mozcom","","0.0","","mozcom.com","mozcom.com","",""
"22082112865","Province of Guimaras","500 - 999","537.0","","guimaras.gov.ph","https://guimaras.gov.ph/","",""
"21983830915","Metro Retail","1000 - 5000","0.0","","metroretail.ph","metroretail.ph","",""
"21953865479","amanahbank.gov.ph","50 - 99","0.0","","amanahbank.gov.ph","amanahbank.gov.ph","",""
"21945750863","WTEI","1 - 49","10.0","","wtei.biz","wtei.biz","https://www.linkedin.com/company/wtei",""
"21945827941","asiatrendscorp.com","","","","asiatrendscorp.com","asiatrendscorp.com","",""
"21945718190","Fuente Pension House","","","","fuentepensionhouse.com.ph","fuentepensionhouse.com.ph","",""
"21945712913","domain.ph","","","","domain.ph","domain.ph","",""
"21945697185","Area29 Construction","1 - 49","10.0","","area29.ph","area29.ph","",""
"21945650441","Gmail support phone number +61~800~765~948 gmail phone number","1 - 49","10.0","","gmail.ph","gmail.ph","https://www.linkedin.com/company/gmail-support-phone-number-61-800-765-948-gmail-phone-number",""
"21945840739","chinabank.com","","","","chinabank.com","chinabank.com","",""
"21945618189","Katunyings","50 - 99","50.0","","katunyings.com","katunyings.com","https://www.linkedin.com/company/ka-tunying-s-ph",""
"21945641058","Energynet","100 - 499","250.0","","energynet.com.ph","energynet.com.ph","https://www.linkedin.com/company/energynet-inc-",""
"21945635118","pesoloan.ph","","","","pesoloan.ph","pesoloan.ph","",""
"21945745558","The Black Bean","1 - 49","5.0","","theblackbean.ph","theblackbean.ph","",""
"21945924414","Ardegal","","","","ardegal.com","ardegal.com","",""
"21945869114","easybiophils.com","","0.0","","easybiophils.com","easybiophils.com","",""
"21945840723","3Dsbuilders","1 - 49","2.0","","3dsbuilders.com","3dsbuilders.com","",""
"21945894448","gdfi.ph","","","","gdfi.ph","gdfi.ph","",""
"21944619633","Fongshann","","","","fongshann.com.ph","fongshann.com.ph","",""
"21945687365","JILCF Sintang Paaralan","","","","jilcf.edu.ph","jilcf.edu.ph","",""
"21944619629","findme.com.ph","","0.0","","findme.com.ph","findme.com.ph","",""
"21945768014","morongstarhotel.com","","0.0","","morongstarhotel.com","morongstarhotel.com","",""
"21945853954","HG3 Construction","","","","hg3construction.com","hg3construction.com","",""
"21945869090","PROBE Group","1000 - 5000","5000.0","","probegroup.com.ph","probegroup.com.ph","https://www.linkedin.com/company/probe-group",""
"21945767993","airspeed.com.ph","1000 - 5000","","","airspeed.com.ph","airspeed.com.ph","",""
"21945739137","KEPCO Philippines Holdings Inc","50 - 99","84.0","","kepcophilippines.com","kepcophilippines.com","",""
"21945869077","dynamic.com.ph","","","","dynamic.com.ph","dynamic.com.ph","",""
"21944780615","Test Company","","","","gfejtf.com","gfejtf.com","",""
"21945795151","Cck-Network","1000 - 5000","1000.0","","cck-network.com","cck-network.com","https://www.linkedin.com/company/cck-city-network-inc",""
"21369526851","New Sinai Medical Hospital","100 - 499","300.0","","newsinaimdi.com","http://www.newsinaimdi.com","",""
